"","sentiment","comments"
"1","POSITIVE","This pleasantly factual representation of the constitutional context is one more reason for my WORLD subscription."
"2","NEUTRAL","What does the “W” mean in the top right corner of the comment? Thanks"
"3","NEUTRAL","This is what it looks like, the AFD's position on factual issues..."
"4","NEUTRAL","I've known the SPD for decades. I know Mr. BK Schmid, Mr. Bk Schröder and predecessor. There are no successors today. I don't like to see anyone from this leadership at the top of the political leadership. Gruesome"
"5","NEGATIVE","Is Mr. Kahrs not the one who harassed and staked one or more women???
What does he open his M.?"
"6","NEUTRAL","As far as I know, Mr. Kahrs only recently married a man.
So I don't think so..."
"7","NEUTRAL","How does the man imagine that? It is a democratically elected party."
"8","NEUTRAL","From which wood Mr. Kahrs is carved you can read here. 
https://www.zeit.de/2005/47/Telefonterror"
"9","POSITIVE","Kahrs is, because of his super way of evaluating everything real and being able to behave great criticism. I really appreciate him."
"10","NEGATIVE","How could it be that none of my posts will be published? I have only mentioned with the most polite notes that Mr Kahr wants to dispose of Mrs Merkel. I did not mention the terror calls (getting rightful punishment made at night) against his party mate."
"11","NEGATIVE","The fact that Kahrs is crazy is understandable, the subject is already absurd. What's the next interview? If we want to ban the winter, you can only stand badly."
"12","NEGATIVE","Since the dismissal of masses, one cannot escape the impression that the protection of the Constitution has already been politically motivated. It's bad about democracy."
"13","NEUTRAL","A sentence in the article puts it to the point: 
“The constitutional protection employees gather the insights that the politicians then evaluate. Those who confuse this sequence are putting pressure on the authorities.”

I see this order confused under Haldenwang. Maassen's successor Haldenwang immediately responded to the widespread desire of our parliamentarians to observe the political competition from the right of the constitutional protection. Although the “suspected case” was limited to the right-wing “wing” around Höcke and the youth organization of the AFD, this measure achieved the public effect that the political competition parties wanted to achieve.
In my view, Haldenwang has been used here. Neutrality and professional distance I can't see at Haldenwang. 

The overwhelming of political parties vis-à-vis authorities with a view to political influence on government decisions must be resolutely opposed. In fact, the above arthicle of the world fulfills the task of the “Fourth Violence” in the State. It is gratifying that this control function has been increasingly taking place recently and politicians such as Kahrs are being put into democratic barriers."
"14","NEGATIVE","Everyone can have their own opinion on the AFD. What Kahrs tried and would like is, of course, strong tobak. His own party has crashed unprecedented because it obviously no longer represents the voters, i.e. the sovereign. To slow down this path into possible insignificance by possible prohibitions on competitors is completely wrong and profoundly undemocratic.
Why doesn't he just try the better arguments and activities?"
"15","NEUTRAL","In recent years, in the SPD, they have already gladly tried internally with prohibitions when they ran out of arguments in the discussion.
It remains to be hoped that the voters are now faster and will send this party to dissolution. Your time is up."
"16","POSITIVE","The greatest critics of the moose are basically themselves."
