"","title","link_ID","num_of_comments","negative","positive","neutral","mixed","summary","links"
"1","Laschet would be the candidate for Jamaica",203621910,97,51,27,16,3,"When it comes to possible chancellor candidates of the Union, the name of the NRW Prime Minister Armin Laschet always falls. It inspires the fantasies of political analysts. How likely is it that's how it actually happens?","https://www.welt.de/politik/deutschland/politik/deutschland/plus203621910/NRW-Regierungschef-Armin-Laschet-Der-kann-das-auch-im-Bund.html"
"2","With the Greens, women decide whether to debate",203624286,144,47,66,29,2,"At the party congress in Bielefeld, the Greens also voted on their culture of debate. Result: Men will have less to report in future. And the construction of single-family homes is to be made more difficult because they needed too much space and resources.","https://www.welt.de/politik/deutschland/politik/deutschland/article203624286/Gruenen-Parteitag-Die-Frauen-entscheiden-ob-debattiert-wird.html"
"3","Federal Court of Auditors raises serious accusations against Andreas Scheuer",203623570,62,31,25,1,5,"According to a report by the Court of Auditors, the Ministry of Transport has violated budgetary and public procurement law. The opposition attacks Minister Scheuer sharply, his ministry rejects the accusations.","https://www.welt.de/politik/deutschland/politik/deutschland/article203623570/Pkw-Maut-Bundesrechnungshof-wirft-Andreas-Scheuer-Rechtsverstoesse-vor.html"
"4","And then Merkel discovers the “new oil”",203620526,131,59,51,20,1,"The Federal Government is committed to a new strategy. With a billion euros, the last radio holes are to be closed. By answering a question, the Chancellor probably frightened the staff of the Ministry of Environment.","https://www.welt.de/politik/deutschland/politik/deutschland/article203620526/Digitalstrategie-der-Regierung-Und-dann-entdeckt-Merkel-das-neue-Oel.html"
"5","After Green Vote, the way for Kenya coalition in Brandenburg",203619744,143,36,83,23,1,"A clear majority of the Greens voted in favour of the coalition treaty in a referendum. Previously, social and Christian Democrats had already voted for the Kenyan alliance.","https://www.welt.de/politik/deutschland/politik/deutschland/article203619744/Brandenburg-Nach-Votum-der-Gruenen-Weg-frei-fuer-Kenia-Koalition.html"
"6","The rental cover awakens fear of Berlin's decay",203537054,48,3,17,25,3,"Contractors warn against Berlin's collapse, retail investors are worried about their retirement plans: the rental cover is supposed to relax the housing market — but it causes chaos. Also for people looking for housing, the planned law becomes a problem.","https://www.welt.de/politik/deutschland/politik/deutschland/plus203537054/Berliner-Mietendeckel-Das-bedeutet-noch-groessere-Wohnungsnot.html"
"7","Why the state of Nato Macron worries",203572868,2,1,1,NA,NA,"The crisis belt from Libya to Nigeria is more dangerous than Syria and Afghanistan as a possible new terrorist base for Europe. But NATO is more focused on Poland and the Baltic States. France, in particular, is worried.","https://www.welt.de/politik/deutschland/politik/deutschland/plus203572868/Sicherheitspolitik-Warum-der-Zustand-der-Nato-Macron-beunruhigt.html"
"8","“People expect us to think bigger”",203580470,115,1,31,30,53,"Before the CDU party congress, Philipp Amthor warns his party against “permanent self-employment” as in the SPD. The Union must be concerned with developing an agenda for the coming decades. However, GroKo is not a “core driver for visions”.","https://www.welt.de/politik/deutschland/politik/deutschland/plus203580470/Philipp-Amthor-CDU-Leute-erwarten-von-uns-dass-wir-groesser-denken.html"
"9","One billion euros are to be stuffed with the funk-holes",203598360,134,61,56,13,4,"More than one billion euros for mobile communications and digital administration — the German government no longer wants to be dependent on digitalisation. But this is still being slowed down by the bureaucracy.","https://www.welt.de/politik/deutschland/politik/deutschland/article203598360/Digitalisierung-Mit-einer-Milliarde-Euro-sollen-die-Funkloecher-gestopft-werden.html"
"10","The demands of “Fridays For Future” are applause, but no majority",203593954,106,50,38,16,2,"Habeck and Baerbock manage to position their party in a more central and left-liberal position. But the market should be strictly regulated — and the influence of young activists is unmistakable. In the end, Claudia Roth makes an application for climate refugees.","https://www.welt.de/politik/deutschland/politik/deutschland/plus203593954/Parteitag-Gruene-Beifall-aber-keine-Mehrheit-fuer-Fridays-for-Future.html"
